=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 12 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 14 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 15 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 16 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 17 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 10 | </cst/Ports/> 1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 11 | </cst/Ports/> 1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 1 | component1:Boom | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 2 | component1:D1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 3 | component1:D2 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 4 | component1:D3 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 5 | component1:D4 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 6 | component1:D5 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 7 | component1:Dipole | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 9 | component1:Dipole (Lump 2) | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 8 | component1:Reflector | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
=========================================
